timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759767027353,280,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,897,310,5,5,https://fakestoreapi.com/auth/login,280,0,0
1759767027353,288,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,901,316,5,5,https://fakestoreapi.com/auth/login,288,0,0
1759767027366,297,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,898,310,5,5,https://fakestoreapi.com/auth/login,297,0,0
1759767027571,307,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,892,311,5,5,https://fakestoreapi.com/auth/login,307,0,0
1759767027633,277,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,893,310,5,5,https://fakestoreapi.com/auth/login,277,0,0
1759767027641,286,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,903,316,5,5,https://fakestoreapi.com/auth/login,286,0,0
1759767027663,284,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,900,310,5,5,https://fakestoreapi.com/auth/login,284,0,0
1759767027587,409,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,896,312,5,5,https://fakestoreapi.com/auth/login,409,0,121
1759767027878,301,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,898,311,5,5,https://fakestoreapi.com/auth/login,301,0,0
1759767027910,281,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,898,312,5,5,https://fakestoreapi.com/auth/login,281,0,0
1759767027928,290,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,895,310,5,5,https://fakestoreapi.com/auth/login,290,0,0
1759767027948,288,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,905,316,5,5,https://fakestoreapi.com/auth/login,288,0,0
1759767027996,277,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,888,310,5,5,https://fakestoreapi.com/auth/login,277,0,0
1759767028191,281,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,900,312,5,5,https://fakestoreapi.com/auth/login,281,0,0
1759767028179,303,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,894,311,5,5,https://fakestoreapi.com/auth/login,303,0,0
1759767028218,289,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,901,310,5,5,https://fakestoreapi.com/auth/login,289,0,0
1759767028237,285,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,897,316,5,5,https://fakestoreapi.com/auth/login,285,0,0
1759767028273,292,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,892,310,5,5,https://fakestoreapi.com/auth/login,292,0,0
1759767028473,286,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,888,311,5,5,https://fakestoreapi.com/auth/login,286,0,0
1759767028482,304,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,900,312,5,5,https://fakestoreapi.com/auth/login,304,0,0
1759767028507,291,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,893,310,5,5,https://fakestoreapi.com/auth/login,291,0,0
1759767028523,285,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,899,316,5,5,https://fakestoreapi.com/auth/login,285,0,0
1759767028565,279,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,890,310,5,5,https://fakestoreapi.com/auth/login,279,0,0
1759767028759,279,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,898,311,5,5,https://fakestoreapi.com/auth/login,279,0,0
1759767028799,296,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,897,310,6,6,https://fakestoreapi.com/auth/login,296,0,0
1759767028786,309,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,906,312,6,6,https://fakestoreapi.com/auth/login,309,0,0
1759767028809,286,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,899,316,6,6,https://fakestoreapi.com/auth/login,286,0,0
1759767028844,281,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,896,310,6,6,https://fakestoreapi.com/auth/login,281,0,0
